date,open,high,low,close,volume
2021-11-21T17:01.00Z,4311.95,4314.25,4315.04,4308.65,35.38081157
2021-11-21T17:00.00Z,4314.15,4312.91,4321.44,4310.6,34.29850587
2021-11-21T16:59.00Z,4312.35,4314.51,4314.53,4309.2,16.72241331
2021-11-21T16:58.00Z,4310.85,4312.35,4314.68,4310.03,16.0548749
2021-11-21T16:57.00Z,4313.3,4310.84,4313.3,4308.99,11.80598826
2021-11-21T16:56.00Z,4317.36,4313.3,4318.86,4312.38,33.92024934
2021-11-21T16:55.00Z,4318.51,4316.74,4320.59,4314.08,19.4543644
2021-11-21T16:54.00Z,4317.54,4318.55,4322.54,4317.54,20.44835966
2021-11-21T16:53.00Z,4318.36,4317.55,4321.38,4317.54,18.012841
2021-11-21T16:52.00Z,4316.64,4318.78,4320.37,4316.63,31.5087581
2021-11-21T16:51.00Z,4312.48,4316.64,4318.29,4312.19,27.09003583
2021-11-21T16:50.00Z,4320.78,4312.3,4321.76,4310.55,56.64144004
2021-11-21T16:49.00Z,4322.53,4320.78,4324.24,4320.78,33.62242146
2021-11-21T16:48.00Z,4315.72,4322,4322.5,4315.72,34.53202798
2021-11-21T16:47.00Z,4315.21,4316.02,4316.02,4313.73,17.22345854
2021-11-21T16:46.00Z,4312.39,4315.22,4315.24,4312.38,35.03776922
2021-11-21T16:45.00Z,4305.86,4312.39,4312.39,4305.86,35.57085135
2021-11-21T16:44.00Z,4302.19,4305.86,4306.68,4301.01,35.97527559
2021-11-21T16:43.00Z,4312.23,4302.36,4312.24,4301.03,87.53877406
2021-11-21T16:42.00Z,4310.71,4312.23,4312.74,4310.5,81.44105875
2021-11-21T16:41.00Z,4311.4,4310.71,4312.24,4309.15,95.51716453
2021-11-21T16:40.00Z,4320.54,4309.66,4320.54,4309.66,85.46584078
2021-11-21T16:39.00Z,4321.02,4320.48,4321.02,4320.48,18.40115992
2021-11-21T16:38.00Z,4322.2,4321.02,4322.21,4321.01,21.06589653
2021-11-21T16:37.00Z,4316.51,4322.21,4322.94,4316.51,21.30851695
2021-11-21T16:36.00Z,4312.16,4316.44,4316.44,4312.08,21.92375006
2021-11-21T16:35.00Z,4311.79,4312.17,4315.42,4311.03,86.67508022
2021-11-21T16:34.00Z,4332.43,4311.79,4332.43,4310.33,217.39459883
2021-11-21T16:33.00Z,4331.66,4332.43,4333.43,4331.66,38.5364666
2021-11-21T16:32.00Z,4339.66,4331.66,4339.67,4331.65,54.07639304
2021-11-21T16:31.00Z,4340.09,4339.66,4340.15,4339.43,23.67661529
2021-11-21T16:30.00Z,4340.85,4340.09,4341.22,4338.05,42.89604075
2021-11-21T16:29.00Z,4338.96,4340.97,4340.97,4338.96,13.11211066
2021-11-21T16:28.00Z,4339.34,4338.97,4341.03,4336.63,66.58705386
2021-11-21T16:27.00Z,4337.6,4339.34,4339.47,4337.6,11.66778852
2021-11-21T16:26.00Z,4332.29,4337.59,4338.31,4332.29,53.46857942
2021-11-21T16:25.00Z,4340.64,4332.29,4344.04,4327.61,376.12868813
2021-11-21T16:24.00Z,4349.74,4340.74,4349.74,4340,204.71569513
2021-11-21T16:23.00Z,4352,4349.81,4352.07,4349.47,26.25460384
2021-11-21T16:22.00Z,4352.86,4352.03,4352.86,4352.03,11.62967767
2021-11-21T16:21.00Z,4357.14,4352.86,4357.15,4352.68,8.69195741
2021-11-21T16:20.00Z,4358.16,4356.31,4358.48,4356.31,32.93902063
2021-11-21T16:19.00Z,4358.95,4358.16,4358.96,4357.98,54.93688756
2021-11-21T16:18.00Z,4358.01,4358.96,4358.96,4356.46,52.82067996
2021-11-21T16:17.00Z,4358,4358.02,4359.99,4356.8,60.34837614
2021-11-21T16:16.00Z,4358.57,4357.99,4358.57,4357.47,12.27355709
2021-11-21T16:15.00Z,4358.44,4358.57,4358.83,4358.24,8.23980596
